id,english_word,persian_translation,example_sentence,persian_example,phonetic,category,level,created_at,last_reviewed,next_review,ease_factor,repetition,interval,is_favorite
737,bookshelf,قفسه کتاب,"The bookshelf is full of novels.","قفسه کتاب پر از رمان است.","/ˈbʊk.ʃelf/","وسایل","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
738,bookshop,کتابفروشی,"I bought this dictionary from the bookshop.","این فرهنگ لغت را از کتابفروشی خریدم.","/ˈbʊk.ʃɒp/","مکان","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
739,bookstore,کتابفروشی,"The new bookstore has a great selection.","کتابفروشی جدید انتخاب خوبی دارد.","/ˈbʊk.stɔːr/","مکان","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
740,boom,رونق,"The city experienced an economic boom.","شهر یک رونق اقتصادی را تجربه کرد.","/buːm/","اقتصاد","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
741,boost,تقویت کردن,"The coffee boosted my energy.","قهوه انرژی مرا تقویت کرد.","/buːst/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
742,boost,افزایش,"The advertising campaign gave sales a boost.","کمپین تبلیغاتی به فروش افزایش داد.","/buːst/","کسب و کار","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
743,boot,چکمه,"She wore leather boots in winter.","او در زمستان چکمه چرمی پوشید.","/buːt/","لباس","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
744,booth,غرفه,"We set up a booth at the trade fair.","ما در نمایشگاه تجاری یک غرفه راه انداختیم.","/buːθ/","کسب و کار","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
745,border,مرز,"We crossed the border at noon.","ما در ظهر از مرز عبور کردیم.","/ˈbɔːr.dər/","جغرافیا","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
746,bore,حوصله سر بردن,"His long speech bored the audience.","سخنرانی طولانی او حوصله حضار را سر برد.","/bɔːr/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
747,bored,حوصله سر رفته,"I'm bored with this movie.","حوصله ام از این فیلم سر رفته است.","/bɔːrd/","احساسات","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
748,boredom,بی‌حوصلگی,"The boredom of the job made him quit.","بی‌حوصلگی کار باعث شد استعفا دهد.","/ˈbɔːr.dəm/","احساسات","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
749,boring,حوصله‌سربر,"The lecture was very boring.","سخنرانی بسیار حوصله‌سربر بود.","/ˈbɔːr.ɪŋ/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
750,borrow,قرض گرفتن,"Can I borrow your pen?","می‌توانم خودکارت را قرض بگیرم؟","/ˈbɒr.əʊ/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
751,boss,رئیس,"My boss approved my vacation request.","رئیسم درخواست مرخصی من را تأیید کرد.","/bɒs/","کسب و کار","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
752,bossy,رئیس مآب,"She's too bossy with her colleagues.","او با همکارانش خیلی رئیس مآب است.","/ˈbɒs.i/","شخصیت","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
753,botany,گیاه‌شناسی,"She studied botany at university.","او در دانشگاه گیاه‌شناسی خواند.","/ˈbɒt.ən.i/","علم","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
754,both,هر دو,"Both options seem good to me.","هر دو گزینه به نظر من خوب می‌رسند.","/bəʊθ/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
755,both,هر دوی,"I like both chocolate and vanilla.","من هر دوی شکلات و وانیل را دوست دارم.","/bəʊθ/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
756,both,هم,"Both my parents are doctors.","هم پدر و هم مادرم پزشک هستند.","/bəʊθ/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
757,bother,زحمت دادن,"I don't want to bother you.","نمی‌خواهم مزاحمتان شوم.","/ˈbɒð.ər/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
758,bother,ناراحت کردن,"The noise didn't bother me.","سر و صدا من را ناراحت نکرد.","/ˈbɒð.ər/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
759,bothered,ناراحت,"She seemed bothered by the news.","به نظر می‌رسید از خبر ناراحت شده است.","/ˈbɒð.əd/","احساسات","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
760,bothersome,آزاردهنده,"The constant noise was bothersome.","سروصدای مداوم آزاردهنده بود.","/ˈbɒð.ə.səm/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
761,bottle,بطری,"She drank a bottle of water.","او یک بطری آب نوشید.","/ˈbɒt.əl/","وسایل","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
762,bottle,بطری کردن,"They bottle their own olive oil.","آنها روغن زیتون خود را بطری می‌کنند.","/ˈbɒt.əl/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
763,bottom,پایین,"The book is at the bottom of the bag.","کتاب در پایین کیف است.","/ˈbɒt.əm/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
764,bounce,پرش,"The ball had a high bounce.","توپ پرش بلندی داشت.","/baʊns/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
765,bounce,جهیدن,"The children love to bounce on the trampoline.","بچه‌ها دوست دارند روی ترامپولین بجهند.","/baʊns/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
766,bound,محدود,"Our choices are bound by the rules.","انتخاب‌های ما توسط قوانین محدود شده‌اند.","/baʊnd/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
767,bourbon,بوربن,"He ordered a glass of bourbon.","او یک لیوان بوربن سفارش داد.","/ˈbɜː.bən/","غذا","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
768,bow,خم شدن,"The actors bow at the end of the play.","بازیگران در پایان نمایش خم می‌شوند.","/baʊ/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
769,bow,کمان,"He shot an arrow with his bow.","او با کمان خود تیری شلیک کرد.","/bəʊ/","وسایل","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
770,bowl,کاسه,"She ate cereal from a bowl.","او غلات را از یک کاسه خورد.","/bəʊl/","وسایل","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
771,bowl,بولینگ بازی کردن,"We bowl every Friday night.","ما هر جمعه شب بولینگ بازی می‌کنیم.","/bəʊl/","ورزش","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
772,box,جعبه,"Put the books in the box.","کتاب‌ها را در جعبه بگذار.","/bɒks/","وسایل","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
773,boxer,بوکسور,"The boxer won the championship.","بوکسور قهرمانی را برد.","/ˈbɒk.sər/","ورزش","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
774,boxing,بوکس,"He practices boxing every day.","او هر روز بوکس تمرین می‌کند.","/ˈbɒk.sɪŋ/","ورزش","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
775,boy,پسر,"The boy is playing in the park.","پسر در پارک بازی می‌کند.","/bɔɪ/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
776,boyfriend,دوست پسر,"She introduced her boyfriend to her parents.","او دوست پسرش را به والدینش معرفی کرد.","/ˈbɔɪ.frend/","روابط","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
777,bra,سوتین,"She bought a new bra.","او یک سوتین جدید خرید.","/brɑː/","لباس","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
778,bracelet,دست‌بند,"He gave her a silver bracelet.","او به او یک دست‌بند نقره‌ای داد.","/ˈbreɪ.slət/","وسایل","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
779,bracket,براکت,"Put these words in brackets.","این کلمات را در براکت قرار دهید.","/ˈbræk.ɪt/","نوشتاری","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
780,brag,لاف زدن,"He always brags about his car.","او همیشه درباره ماشینش لاف می‌زند.","/bræɡ/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
781,brain,مغز,"The human brain is complex.","مغز انسان پیچیده است.","/breɪn/","بدن","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
782,brainstorm,طوفان فکری,"Let's brainstorm some ideas.","بیایید یک طوفان فکری برای ایده‌ها داشته باشیم.","/ˈbreɪn.stɔːm/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
783,brainstorming,بارش فکری,"We did a brainstorming session.","ما یک جلسه بارش فکری داشتیم.","/ˈbreɪn.stɔː.mɪŋ/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
784,brake,ترمز,"The car's brakes failed.","ترمزهای ماشین از کار افتاد.","/breɪk/","حمل و نقل","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
785,brake,ترمز کردن,"He braked suddenly to avoid the dog.","او ناگهان ترمز کرد تا از برخورد با سگ جلوگیری کند.","/breɪk/","حمل و نقل","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
786,branch,شاخه,"The bird sat on a tree branch.","پرنده روی شاخه درخت نشست.","/brɑːntʃ/","طبیعت","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
787,branch,شعبه,"The bank opened a new branch.","بانک یک شعبه جدید باز کرد.","/brɑːntʃ/","کسب و کار","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
788,brand,برند,"This is my favorite brand of coffee.","این برند مورد علاقه من برای قهوه است.","/brænd/","کسب و کار","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
789,brand-new,نو,"He bought a brand-new car.","او یک ماشین نو خرید.","/ˌbrændˈnjuː/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
790,brass,برنج,"The doorknob was made of brass.","دستگیره در از جنس برنج بود.","/brɑːs/","مواد","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
791,brave,شجاع,"The firefighter was very brave.","آتش‌نشان بسیار شجاع بود.","/breɪv/","شخصیت","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
792,bravely,با شجاعت,"She bravely faced her fears.","او با شجاعت با ترس‌هایش روبرو شد.","/ˈbreɪv.li/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
793,bravery,شجاعت,"His bravery saved many lives.","شجاعت او جان‌های بسیاری را نجات داد.","/ˈbreɪ.vər.i/","شخصیت","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
794,bread,نان,"I bought fresh bread this morning.","من امروز صبح نان تازه خریدم.","/bred/","غذا","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
795,break,شکستن,"Be careful not to break the glass.","مراقب باش شیشه را نشکنی.","/breɪk/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
796,break,استراحت,"Let's take a short break.","بیایید یک استراحت کوتاه داشته باشیم.","/breɪk/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
797,breakable,شکننده,"These dishes are very breakable.","این ظروف بسیار شکننده هستند.","/ˈbreɪ.kə.bəl/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
798,breakdown,خرابی,"We had a breakdown on the highway.","ما در بزرگراه خرابی داشتیم.","/ˈbreɪk.daʊn/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
799,breakfast,صبحانه,"I usually eat breakfast at 7 AM.","من معمولاً ساعت 7 صبح صبحانه می‌خورم.","/ˈbrek.fəst/","غذا","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
800,breakthrough,پیشرفت,"Scientists made a major breakthrough.","دانشمندان یک پیشرفت بزرگ داشتند.","/ˈbreɪk.θruː/","علم","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
801,breakup,جدایی,"The breakup was difficult for both.","جدایی برای هر دو سخت بود.","/ˈbreɪk.ʌp/","روابط","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
802,breast,سینه,"Breast cancer awareness is important.","آگاهی از سرطان سینه مهم است.","/brest/","سلامتی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
803,breath,نفس,"Take a deep breath and relax.","یک نفس عمیق بکش و آرام باش.","/breθ/","سلامتی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
804,breathe,نفس کشیدن,"It's hard to breathe in this smoke.","نفس کشیدن در این دود سخت است.","/briːð/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
805,breathless,بی‌نفس,"After running, I was breathless.","بعد از دویدن، بی‌نفس شده بودم.","/ˈbreθ.ləs/","سلامتی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
806,breathtaking,حیرت‌انگیز,"The view from the top was breathtaking.","چشم‌انداز از بالا حیرت‌انگیز بود.","/ˈbreθˌteɪ.kɪŋ/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
807,breed,نژاد,"This breed of dog is very friendly.","این نژاد سگ بسیار دوستانه است.","/briːd/","حیوانات","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
808,breed,پرورش دادن,"They breed horses on their farm.","آنها در مزرعه‌شان اسب پرورش می‌دهند.","/briːd/","حیوانات","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
809,breeding,پرورش,"The breeding of these dogs requires special care.","پرورش این سگ‌ها نیاز به مراقبت ویژه دارد.","/ˈbriː.dɪŋ/","حیوانات","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
810,breeze,نسیم,"A cool breeze blew through the window.","یک نسیم خنک از پنجره وزید.","/briːz/","طبیعت","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
811,breezy,پر نسیم,"It was a bright, breezy day.","روزی آفتابی و پر نسیم بود.","/ˈbriː.zi/","طبیعت","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
812,brewery,آبجوسازی,"We visited a local brewery.","ما از یک آبجوسازی محلی بازدید کردیم.","/ˈbruː.ər.i/","مکان","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
813,brick,آجر,"The house was built with red bricks.","خانه با آجرهای قرمز ساخته شده بود.","/brɪk/","مواد","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
814,bride,عروس,"The bride looked beautiful in her white dress.","عروس در لباس سفیدش زیبا به نظر می‌رسید.","/braɪd/","روابط","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
815,bridge,پل,"We walked across the old bridge.","ما از روی پل قدیمی عبور کردیم.","/brɪdʒ/","مکان","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
816,brief,کوتاه,"He gave a brief explanation.","او توضیح کوتاهی داد.","/briːf/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
817,briefly,به طور خلاصه,"She spoke briefly about her plans.","او به طور خلاصه درباره برنامه‌هایش صحبت کرد.","/ˈbriːf.li/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
818,bright,روشن,"The sun was bright this morning.","امروز صبح خورشید روشن بود.","/braɪt/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
819,brightly,به طور درخشان,"The stars shone brightly in the sky.","ستاره‌ها در آسمان به طور درخشان می‌درخشیدند.","/ˈbraɪt.li/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
820,brilliant,درخشان,"She had a brilliant idea.","او ایده درخشانی داشت.","/ˈbrɪl.i.ənt/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
821,brilliantly,به طور عالی,"He performed brilliantly in the exam.","او در امتحان به طور عالی عمل کرد.","/ˈbrɪl.i.ənt.li/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
822,bring,آوردن,"Please bring your notebook tomorrow.","لطفاً فردا دفتر خود را بیاورید.","/brɪŋ/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
823,broad,وسیع,"He has broad shoulders.","او شانه‌های پهن دارد.","/brɔːd/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
824,broadband,پهن‌باند,"We need faster broadband internet.","ما به اینترنت پهن‌باند سریع‌تر نیاز داریم.","/ˈbrɔːd.bænd/","تکنولوژی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
825,broadcast,پخش,"The news was broadcast live.","خبر به صورت زنده پخش شد.","/ˈbrɔːd.kɑːst/","رسانه","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
826,broadcast,برنامه,"The radio broadcast was interrupted.","پخش رادیویی قطع شد.","/ˈbrɔːd.kɑːst/","رسانه","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
827,broadcaster,گوینده,"The broadcaster announced the results.","گوینده نتایج را اعلام کرد.","/ˈbrɔːdˌkɑː.stər/","شغل","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
828,broaden,گسترش دادن,"Traveling can broaden your horizons.","مسافرت می‌تواند افق‌های شما را گسترش دهد.","/ˈbrɔː.dən/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
829,broadly,به طور کلی,"Broadly speaking, I agree with you.","به طور کلی، با شما موافقم.","/ˈbrɔːd.li/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
830,broccoli,کلم بروکلی,"We had steamed broccoli with dinner.","ما با شام کلم بروکلی بخارپز داشتیم.","/ˈbrɒk.əl.i/","غذا","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
831,brochure,بروشور,"The travel agency gave us a brochure.","آژانس مسافرتی به ما یک بروشور داد.","/ˈbrəʊ.ʃər/","وسایل","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
832,broken,شکسته,"The vase lay broken on the floor.","گلدان شکسته روی زمین افتاده بود.","/ˈbrəʊ.kən/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
833,bronze,برنز,"He won a bronze medal in the Olympics.","او در المپیک مدال برنز کسب کرد.","/brɒnz/","مواد","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
834,brother,برادر,"My brother is two years older than me.","برادرم دو سال از من بزرگتر است.","/ˈbrʌð.ər/","خانواده","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
835,brotherhood,برادری,"There was a strong sense of brotherhood.","احساس قوی از برادری وجود داشت.","/ˈbrʌð.ə.hʊd/","روابط","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
836,brother-in-law,برادرزن/شوهر,"My brother-in-law is visiting us.","برادرزن/شوهرم در حال بازدید از ماست.","/ˈbrʌð.ər.ɪn.lɔː/","خانواده","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
837,brown,قهوه‌ای,"She has beautiful brown eyes.","او چشمان قهوه‌ای زیبایی دارد.","/braʊn/","رنگ","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
838,brown,برنزه,"His skin turned brown in the sun.","پوست او در آفتاب برنزه شد.","/braʊn/","ظاهر","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
839,browse,مرور کردن,"I like to browse in bookstores.","من دوست دارم در کتابفروشی‌ها مرور کنم.","/braʊz/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
840,browser,مرورگر,"Which browser do you use for the internet?","از کدام مرورگر برای اینترنت استفاده می‌کنید؟","/ˈbraʊ.zər/","کامپیوتر","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
841,bruise,کبودی,"She had a bruise on her arm.","او روی بازویش یک کبودی داشت.","/bruːz/","سلامتی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
842,brush,برس,"I need to buy a new hair brush.","من باید یک برس موی جدید بخرم.","/brʌʃ/","وسایل","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
843,brush,مسواک,"Don't forget to brush your teeth.","فراموش نکن دندان‌هایت را مسواک بزنی.","/brʌʃ/","سلامتی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
844,bubble,حباب,"Children love blowing bubbles.","بچه‌ها دوست دارند حباب درست کنند.","/ˈbʌb.əl/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
845,bucket,سطل,"He carried water in a bucket.","او آب را در یک سطل حمل کرد.","/ˈbʌk.ɪt/","وسایل","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
846,bud,غنچه,"The rose buds will bloom soon.","غنچه‌های گل رز به زودی باز خواهند شد.","/bʌd/","طبیعت","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
847,buddy,رفیق,"He's my workout buddy.","او رفیق ورزشی من است.","/ˈbʌd.i/","روابط","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
848,budget,بودجه,"We need to stick to our budget.","ما باید به بودجه خود پایبند بمانیم.","/ˈbʌdʒ.ɪt/","مالی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
849,budget,مقرون به صرفه,"This hotel is quite budget.","این هتل کاملاً مقرون به صرفه است.","/ˈbʌdʒ.ɪt/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
850,bug,حشره,"There's a bug on your shirt.","یک حشره روی پیراهنت است.","/bʌɡ/","حیوانات","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
851,build,ساختن,"They want to build a new school.","آنها می‌خواهند یک مدرسه جدید بسازند.","/bɪld/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
852,builder,سازنده,"The builder is working on our house.","سازنده در حال کار روی خانه ماست.","/ˈbɪl.dər/","شغل","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
853,building,ساختمان,"This is the tallest building in the city.","این بلندترین ساختمان شهر است.","/ˈbɪl.dɪŋ/","مکان","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
854,bulb,لامپ,"The light bulb needs replacing.","لامپ نیاز به تعویض دارد.","/bʌlb/","وسایل","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
855,bulimia,بولیمیا,"She's receiving treatment for bulimia.","او برای بولیمیا تحت درمان است.","/bjuːˈlɪm.i.ə/","سلامتی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
856,bull,گاو نر,"The bull was charging at the matador.","گاو نر به سوی گاوباز حمله می‌کرد.","/bʊl/","حیوانات","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
